NP_248870.1	PA0180	cttP
NP_248871.1	PA0181	NODATA
NP_248872.1	PA0182	NODATA
NP_248873.1	PA0183	atsA
NP_248874.1	PA0184	NODATA
NP_248875.1	PA0185	NODATA
NP_248876.1	PA0186	NODATA
NP_248877.1	PA0187	NODATA
NP_248878.1	PA0188	NODATA
NP_248879.1	PA0189	NODATA
NP_248880.1	PA0190	NODATA
NP_248881.1	PA0191	NODATA
NP_248882.1	PA0192	NODATA
NP_248883.1	PA0193	NODATA
NP_248884.1	PA0194	NODATA
NP_248885.1	PA0195	pntAA
NP_248886.2	PA0195.1	pntAB
NP_248887.1	PA0196	pntB
NP_248888.1	PA0197	tonB2
NP_248889.1	PA0198	exbB1
NP_248890.1	PA0199	exbD1
NP_248891.1	PA0200	NODATA
NP_248892.1	PA0201	NODATA
NP_248893.1	PA0202	NODATA
NP_248894.1	PA0203	NODATA
NP_248895.1	PA0204	NODATA
NP_248896.1	PA0205	NODATA
NP_248897.1	PA0206	NODATA
NP_248898.1	PA0207	NODATA
NP_248899.1	PA0208	mdcA
NP_248900.1	PA0209	NODATA
NP_248901.1	PA0210	mdcC
NP_248902.1	PA0211	mdcD
NP_248903.1	PA0212	mdcE
NP_248904.1	PA0213	NODATA
NP_248905.1	PA0214	NODATA
NP_248906.1	PA0215	NODATA
NP_248907.1	PA0216	NODATA
NP_248908.1	PA0217	NODATA
NP_248909.1	PA0218	NODATA
NP_248910.1	PA0219	NODATA
NP_248911.1	PA0220	NODATA
NP_248912.1	PA0221	NODATA
NP_248913.1	PA0222	NODATA
NP_248914.1	PA0223	NODATA
NP_248915.1	PA0224	NODATA
NP_248916.1	PA0225	NODATA
NP_248917.1	PA0226	NODATA
NP_248918.1	PA0227	NODATA
NP_248919.1	PA0228	pcaF
NP_248920.1	PA0229	pcaT
NP_248921.1	PA0230	pcaB
NP_248922.1	PA0231	pcaD
NP_248923.1	PA0232	pcaC
NP_248924.1	PA0233	NODATA
NP_248925.1	PA0234	NODATA
NP_248926.1	PA0235	pcaK
NP_248927.1	PA0236	NODATA
NP_248928.1	PA0237	NODATA
NP_248929.1	PA0238	NODATA
NP_248930.1	PA0239	NODATA
NP_248931.1	PA0240	NODATA
NP_248932.1	PA0241	NODATA
NP_248933.1	PA0242	NODATA
NP_248934.1	PA0243	NODATA
NP_248935.1	PA0244	NODATA
NP_248936.1	PA0245	aroQ2
NP_248937.1	PA0246	NODATA
NP_248938.1	PA0247	pobA
NP_248939.1	PA0248	NODATA
NP_248940.1	PA0249	NODATA
NP_248941.1	PA0250	NODATA
