YP_177699.1	Rv0162c	adhE1
NP_214677.1	Rv0163	NODATA
YP_177617.1	Rv0164	TB18.5
YP_177700.2	Rv0165c	mce1R
NP_214680.1	Rv0166	fadD5
NP_214681.1	Rv0167	yrbE1A
NP_214682.1	Rv0168	yrbE1B
YP_177701.1	Rv0169	mce1A
NP_214684.1	Rv0170	mce1B
NP_214685.1	Rv0171	mce1C
NP_214686.1	Rv0172	mce1D
NP_214687.1	Rv0173	lprK
NP_214688.1	Rv0174	mce1F
NP_214689.3	Rv0175	NODATA
NP_214690.1	Rv0176	NODATA
NP_214691.1	Rv0177	NODATA
NP_214692.1	Rv0178	NODATA
NP_214693.1	Rv0179c	lprO
NP_214694.1	Rv0180c	NODATA
NP_214695.1	Rv0181c	NODATA
NP_214696.1	Rv0182c	sigG
NP_214697.2	Rv0183	NODATA
NP_214698.1	Rv0184	NODATA
NP_214699.1	Rv0185	NODATA
NP_214700.1	Rv0186	bglS
YP_004837046.2	Rv0186A	mymT
NP_214701.1	Rv0187	NODATA
NP_214702.1	Rv0188	NODATA
NP_214703.1	Rv0189c	ilvD
NP_214704.1	Rv0190	NODATA
NP_214705.1	Rv0191	NODATA
NP_214706.1	Rv0192	NODATA
NP_214707.1	Rv0193c	NODATA
NP_214708.1	Rv0194	NODATA
NP_214709.1	Rv0195	NODATA
NP_214710.1	Rv0196	NODATA
NP_214711.1	Rv0197	NODATA
NP_214712.1	Rv0198c	zmp1
NP_214713.1	Rv0199	NODATA
NP_214714.1	Rv0200	NODATA
NP_214715.1	Rv0201c	NODATA
NP_214716.1	Rv0202c	mmpL11
NP_214717.1	Rv0203	NODATA
NP_214718.2	Rv0204c	NODATA
NP_214719.1	Rv0205	NODATA
NP_214720.1	Rv0206c	mmpL3
NP_214721.1	Rv0207c	NODATA
NP_214722.1	Rv0208c	NODATA
NP_214723.1	Rv0209	NODATA
NP_214724.1	Rv0210	NODATA
NP_214725.1	Rv0211	pckA
NP_214726.1	Rv0212c	nadR
NP_214727.1	Rv0213c	NODATA
NP_214728.1	Rv0214	fadD4
NP_214730.1	Rv0216	NODATA
NP_214731.1	Rv0217c	lipW
NP_214732.1	Rv0218	NODATA
NP_214733.1	Rv0219	NODATA
NP_214734.1	Rv0220	lipC
NP_214735.1	Rv0221	NODATA
NP_214736.1	Rv0222	echA1
NP_214737.1	Rv0223c	NODATA
NP_214738.1	Rv0224c	NODATA
NP_214739.1	Rv0225	NODATA
NP_214740.1	Rv0226c	NODATA
NP_214741.1	Rv0227c	NODATA
NP_214742.1	Rv0228	NODATA
NP_214743.2	Rv0229c	NODATA
NP_214744.1	Rv0230c	php
NP_214745.1	Rv0231	fadE4
NP_214746.1	Rv0232	NODATA
NP_214747.1	Rv0233	nrdB
NP_216247.2	Rv0234c	gabD1
NP_214749.1	Rv0235c	NODATA
NP_214750.1	Rv0236c	aftD
YP_177619.1	Rv0236A	NODATA
YP_177702.1	Rv0237	lpqI
NP_214752.1	Rv0238	NODATA
NP_214753.1	Rv0239	vapB24
NP_214754.1	Rv0240	vapC24
NP_214755.1	Rv0241c	htdX
NP_214756.1	Rv0242c	fabG4
NP_214757.1	Rv0243	fadA2
NP_214758.1	Rv0244c	fadE5
NP_214759.1	Rv0245	NODATA
NP_214760.1	Rv0246	NODATA
NP_214761.1	Rv0247c	NODATA
NP_214762.1	Rv0248c	NODATA
NP_214763.1	Rv0249c	NODATA
NP_214764.1	Rv0250c	NODATA
NP_214765.1	Rv0251c	hsp
NP_214766.1	Rv0252	nirB
NP_214767.1	Rv0253	nirD
NP_214768.1	Rv0254c	cobU
YP_177703.1	Rv0255c	cobQ1
YP_177704.1	Rv0256c	PPE2
YP_177620.1	Rv0257	NODATA
NP_214772.1	Rv0258c	NODATA
NP_214773.1	Rv0259c	NODATA
NP_214774.1	Rv0260c	NODATA
NP_214775.1	Rv0261c	narK3
NP_214776.1	Rv0262c	aac
NP_214777.1	Rv0263c	NODATA
NP_214778.1	Rv0264c	NODATA
YP_177705.1	Rv0265c	NODATA
NP_214780.1	Rv0266c	oplA
NP_214781.1	Rv0267	narU
NP_214782.1	Rv0268c	NODATA
NP_214783.1	Rv0269c	NODATA
NP_214784.1	Rv0270	fadD2
NP_214785.1	Rv0271c	fadE6
NP_214786.1	Rv0272c	NODATA
NP_214787.1	Rv0273c	NODATA
NP_214788.1	Rv0274	NODATA
YP_177706.1	Rv0275c	NODATA
NP_214790.1	Rv0276	NODATA
NP_214791.1	Rv0277c	vapC25
YP_177707.1	Rv0278c	NODATA
YP_177708.1	Rv0279c	PE_PGRS4
YP_177709.1	Rv0280	PPE3
NP_214795.1	Rv0281	NODATA
NP_214796.1	Rv0282	eccA3
NP_214797.1	Rv0283	eccB3
NP_214798.1	Rv0284	eccC3
YP_177710.1	Rv0285	PE5
YP_177711.1	Rv0286	PPE4
NP_214801.1	Rv0287	esxG
NP_214802.1	Rv0288	esxH
NP_214803.1	Rv0289	espG3
NP_214804.1	Rv0290	eccD3
NP_214805.1	Rv0291	mycP3
NP_214806.1	Rv0292	eccE3
NP_214807.1	Rv0293c	NODATA
NP_214808.1	Rv0294	tam
NP_214809.1	Rv0295c	NODATA
YP_177712.1	Rv0296c	NODATA
YP_177713.1	Rv0297	PE_PGRS5
NP_214812.1	Rv0298	NODATA
NP_214813.1	Rv0299	NODATA
NP_214814.1	Rv0300	vapB2
NP_214815.1	Rv0301	vapC2
NP_214816.1	Rv0302	NODATA
NP_214817.1	Rv0303	NODATA
YP_177714.1	Rv0304c	PPE5
YP_177715.1	Rv0305c	PPE6
NP_214820.1	Rv0306	NODATA
NP_214821.1	Rv0307c	NODATA
NP_214822.1	Rv0308	NODATA
NP_214823.1	Rv0309	NODATA
NP_214824.1	Rv0310c	NODATA
NP_214825.1	Rv0311	NODATA
NP_214826.1	Rv0312	NODATA
NP_214827.1	Rv0313	NODATA
NP_214828.1	Rv0314c	NODATA
NP_214829.1	Rv0315	NODATA
NP_214830.1	Rv0316	NODATA
NP_214831.1	Rv0317c	glpQ2
YP_177716.1	Rv0318c	NODATA
NP_214833.1	Rv0319	pcp
NP_214834.1	Rv0320	NODATA
NP_214835.1	Rv0321	dcd
NP_214836.1	Rv0322	udgA
NP_214837.1	Rv0323c	NODATA
NP_214838.1	Rv0324	NODATA
NP_214839.1	Rv0325	NODATA
NP_214840.1	Rv0326	NODATA
NP_214841.1	Rv0327c	cyp135A1
NP_214842.1	Rv0328	NODATA
NP_214843.1	Rv0329c	NODATA
NP_214844.1	Rv0330c	NODATA
NP_214845.1	Rv0331	NODATA
NP_214846.1	Rv0332	NODATA
NP_214847.1	Rv0333	NODATA
NP_214848.1	Rv0334	rmlA
YP_177717.1	Rv0335c	PE6
NP_214850.1	Rv0336	NODATA
NP_214851.1	Rv0337c	aspC
NP_214852.1	Rv0338c	NODATA
NP_214853.1	Rv0339c	NODATA
NP_214854.1	Rv0340	NODATA
NP_214855.1	Rv0341	iniB
NP_214856.1	Rv0342	iniA
NP_214857.1	Rv0343	iniC
NP_214858.1	Rv0344c	lpqJ
NP_214859.1	Rv0345	NODATA
YP_177718.1	Rv0346c	ansP2
NP_214861.1	Rv0347	NODATA
NP_214862.1	Rv0348	NODATA
NP_214863.1	Rv0349	NODATA
NP_214864.1	Rv0350	dnaK
NP_214865.1	Rv0351	grpE
YP_177719.1	Rv0352	dnaJ1
NP_214867.1	Rv0353	hspR
YP_177720.1	Rv0354c	PPE7
YP_177721.2	Rv0355c	PPE8
NP_214870.1	Rv0356c	NODATA
NP_214871.1	Rv0357c	purA
NP_214872.1	Rv0358	NODATA
NP_214873.1	Rv0359	NODATA
NP_214874.1	Rv0360c	NODATA
NP_214875.1	Rv0361	NODATA
NP_214876.1	Rv0362	mgtE
NP_214877.1	Rv0363c	fba
NP_214878.1	Rv0364	NODATA
NP_214879.1	Rv0365c	NODATA
NP_214880.1	Rv0366c	NODATA
NP_214881.1	Rv0367c	NODATA
NP_214882.1	Rv0368c	NODATA
NP_214883.1	Rv0369c	NODATA
NP_214884.1	Rv0370c	NODATA
NP_214885.1	Rv0371c	NODATA
NP_214886.1	Rv0372c	NODATA
NP_214887.1	Rv0373c	NODATA
NP_214888.1	Rv0374c	NODATA
NP_214889.1	Rv0375c	NODATA
NP_214890.1	Rv0376c	NODATA
NP_214891.1	Rv0377	NODATA
NP_214892.1	Rv0378	NODATA
YP_177722.1	Rv0379	secE2
NP_214894.1	Rv0380c	NODATA
NP_214895.1	Rv0381c	NODATA
YP_177723.1	Rv0382c	pyrE
NP_214897.1	Rv0383c	NODATA
NP_214898.1	Rv0384c	clpB
NP_214899.1	Rv0385	NODATA
NP_214900.1	Rv0386	NODATA
NP_214903.1	Rv0389	purT
NP_214904.1	Rv0390	NODATA
NP_214905.1	Rv0391	metZ
NP_214906.1	Rv0392c	ndhA
