NP_414739.1	b0197	metQ
NP_414740.1	b0198	metI
NP_414741.1	b0199	metN
NP_414742.1	b0200	gmhB
NP_414743.1	b0207	dkgB
NP_414744.1	b0208	yafC
NP_414745.1	b0209	yafD
NP_414746.1	b0210	yafE
NP_414747.1	b0211	mltD
NP_414748.1	b0212	gloB
NP_414749.2	b0213	yafS
NP_414750.1	b0214	rnhA
NP_414751.1	b0215	dnaQ
NP_414752.1	b0217	yafT
YP_001165307.1	b4586	ykfM
NP_414754.1	b0219	yafV
NP_414755.1	b0220	ivy
NP_414756.2	b0221	fadE
NP_414757.1	b0222	lpcA
NP_414758.1	b0223	yafJ
NP_414759.1	b0224	yafK
NP_414760.1	b0225	yafQ
NP_414761.1	b0226	dinJ
NP_414762.1	b0227	yafL
NP_414763.1	b0228	rayT
NP_414766.1	b0231	dinB
NP_414767.1	b0232	yafN
NP_414768.1	b0233	yafO
NP_414769.1	b0234	yafP
NP_414772.1	b0237	pepD
NP_414773.1	b0238	gpt
NP_414774.1	b0239	frsA
YP_009518739.1	b4710	insB9
YP_009518740.1	b4709	insA9
NP_414776.1	b0241	phoE
NP_414777.1	b0242	proB
NP_414778.1	b0243	proA
NP_414779.1	b0245	ykfI
NP_414780.1	b0246	yafW
YP_588435.1	b4504	ykfH
NP_414781.1	b0247	ykfG
NP_414782.1	b0248	yafX
NP_414783.1	b0249	ykfF
NP_414784.1	b0250	ykfB
NP_414785.4	b0251	yafY
NP_414786.4	b0252	yafZ
NP_414787.4	b0253	ykfA
NP_414788.1	b0254	perR
NP_414790.1	b0256	insI-1
YP_009518741.1	b0258	ykfC
NP_414793.1	b0259	insH-1
NP_414794.4	b0260	mmuP
NP_414795.1	b0261	mmuM
NP_414796.2	b0262	afuC
NP_414798.1	b0264	insB-2
NP_414799.1	b0265	insA-2
YP_009518742.1	b0266	yagB
NP_414801.1	b0267	yagA
NP_414802.2	b0268	yagE
NP_414803.1	b0269	yagF
NP_414804.1	b0270	yagG
NP_414805.1	b0271	yagH
NP_414806.1	b0272	xynR
NP_414807.1	b0273	argF
YP_009518743.1	b4688	ykgS
NP_414808.1	b0274	insB-3
NP_414809.1	b0275	insA-3
YP_009518744.1	b0276	yagJ
NP_414811.1	b0277	yagK
NP_414812.1	b0278	yagL
NP_414813.1	b0279	yagM
YP_009518745.1	b4729	ykgV
NP_414814.1	b0280	yagN
NP_414815.1	b0281	intF
YP_009518746.1	b0282	yagP
NP_414817.1	b0283	paoD
NP_414818.1	b0284	paoC
