#doi: 10.3389/fmicb.2016.00275
#
BSU Number	Gene_Name	Regulator name	DBTBS	Goelzer et al. 2008 &  SubtiWiki before Marsh 2013	SubtiWiki Marsh 2013	Sporulation database	RegPrecise
BSU28510	xsa	sigA	yes	yes	no	no	no
BSU17600	xylA	sigA	yes	yes	no	no	no
BSU17600	xylA	CcpB	yes	yes	no	no	yes
BSU18840	xynA	sigA	yes	yes	no	no	no
BSU17570	xynP	sigA	yes	yes	no	no	no
BSU00030	yaaA	sigA	yes	yes	no	no	no
BSU00050	yaaB	sigA	yes	yes	no	no	no
BSU00600	yabP	SpoIIID	yes	yes	no	yes	no
BSU01570	ybaN	SpoIIID	yes	yes	no	yes	no
BSU02890	yceC	sigA	yes	yes	no	no	no
BSU03090	ycgF	SpoIIID	yes	yes	no	yes	no
BSU03360	yciC	sigA	yes	yes	no	no	no
BSU04550	ydbP	sigB	yes	yes	no	no	no
BSU05430	ydfJ	sigA	yes	yes	no	no	no
BSU05450	ydfK	sigA	yes	yes	no	no	no
BSU05570	ydgB	GerE	yes	yes	no	no	no
BSU08490	yfhD	sigF	yes	yes	no	yes	no
BSU08620	yfhP	YfhP	yes	yes	no	no	no
BSU08640	yfhS	sigE	yes	yes	no	no	no
BSU07930	yfkD	sigG	yes	yes	no	yes	no
BSU07880	yfkJ	sigA	yes	yes	no	no	no
BSU07390	yfmP	sigA	yes	yes	no	no	no
BSU07300	yfnE	sigE	yes	yes	no	yes	no
BSU08980	yhbH	PhoP	yes	yes	no	no	no
BSU09050	yhcE	ComK	yes	yes	no	no	no
BSU09060	yhcF	ComK	yes	yes	no	no	no
BSU09080	yhcH	ComK	yes	yes	no	no	no
BSU09320	yhcY	sigA	yes	yes	no	no	no
BSU10960	yitE	SpoIIID	yes	yes	no	yes	no
BSU11510	yjbE	sigE	yes	yes	no	yes	no
BSU11809	yjcZ	GerE	yes	yes	no	no	no
BSU13330	ykoL	sigA	yes	yes	no	no	no
BSU14150	ykuN	sigA	yes	yes	no	no	no
BSU13830	ykvU	SpoIIID	yes	yes	no	yes	no
BSU14730	ylaC	sigA	yes	yes	no	no	no
BSU15030	ylbJ	SpoIIID	yes	yes	no	yes	no
BSU15650	yloB	sigE	yes	yes	no	yes	no
BSU15970	ylxM	sigA	yes	yes	no	no	no
BSU17860	yneA	ComK	yes	yes	no	no	no
BSU17870	yneB	ComK	yes	yes	no	no	no
BSU17940	yneI	sigA	yes	yes	no	no	no
BSU17950	yneJ	sigA	yes	yes	no	no	no
BSU18670	yoaN	GerE	yes	yes	no	no	no
BSU19210	yocH	sigA	yes	yes	no	no	no
BSU19850	yotK	sigB	yes	yes	no	no	no
BSU18360	yoxA	sigB	yes	yes	no	no	no
BSU22030	ypbR	Fur	yes	yes	no	no	yes
BSU22520	ypjB	SpoIIID	yes	yes	no	yes	no
BSU26050	yqdB	sigA	yes	yes	no	no	no
BSU25360	yqfC	SpoIIID	yes	yes	no	yes	no
BSU25060	yqfZ	SpoIIID	yes	yes	no	yes	no
BSU23830	yqjL	sigX	yes	yes	no	no	no
BSU25230	yqxD	sigB	yes	yes	no	no	no
BSU25230	yqxD	sigA	yes	yes	no	no	no
BSU24640	yqxM	Spo0A	yes	yes	no	no	no
BSU24640	yqxM	sigA	yes	yes	no	no	no
BSU27020	yraA	sigM	yes	yes	no	no	no
BSU27280	yrrT	sigA	yes	yes	no	no	no
BSU27630	yrvD	sigB	yes	yes	no	no	no
BSU30630	ytkD	sigA	yes	yes	no	no	no
BSU29400	ytlI	Spx	yes	yes	no	no	no
BSU29400	ytlI	sigA	yes	yes	no	no	no
BSU29390	ytmI	sigA	yes	yes	no	no	no
BSU30460	ytrA	sigA	yes	yes	no	no	no
BSU31740	yuxH	sigA	yes	yes	no	no	no
BSU34470	yveA	sigG	yes	yes	no	yes	no
BSU35130	yvlA	AbrB	yes	yes	no	no	no
BSU35790	yvyI	sigA	yes	yes	no	no	no
BSU38310	ywbI	sigA	yes	yes	no	no	no
BSU38060	ywcJ	sigA	yes	yes	no	no	no
BSU39520	yxeK	sigA	yes	yes	no	no	no
BSU40180	yydF	sigA	yes	yes	no	no	no
BSU13850	zosA	sigA	yes	yes	no	no	no
BSU18450	gltA	GltC	yes	no	yes	no	yes
BSU36010	alsS	CcpA	yes	no	no	no	no
BSU27520	cymR	sigA	yes	no	no	no	no
BSU18130	eglS	sigA	yes	no	no	no	no
BSU34370	epsA	sigA	yes	no	no	no	no
BSU33040	fumC	sigH	yes	no	no	yes	no
BSU38860	galE	sigA	yes	no	no	no	no
BSU18450	gltA	GltR	yes	no	no	no	no
BSU18460	gltC	GltC	yes	no	no	no	yes
BSU40050	gntR	sigA	yes	no	no	no	no
BSU40050	gntR	CcpB	yes	no	no	no	yes
BSU09840	hemZ	ResD	yes	no	no	no	no
BSU09840	hemZ	Fnr	yes	no	no	no	no
BSU13190	isp	sigA	yes	no	no	no	no
BSU13190	isp	scoC	yes	no	no	no	no
BSU13190	isp	Ipi	yes	no	no	no	no
BSU13190	isp	DegU	yes	no	no	no	no
BSU08180	malA	MalR	yes	no	no	no	no
BSU30830	menF	sigA	yes	no	no	no	no
BSU29110	phoP	ResD	yes	no	no	no	no
BSU24990	pstS	sigA	yes	no	no	no	no
BSU22560	qcrA	sigA	yes	no	no	no	no
BSU34450	sacB	TenA	yes	no	no	no	no
BSU01910	skfA	sigA	yes	no	no	no	no
BSU23530	spoIIM	GerR	yes	no	no	yes	no
BSU25530	spoIIP	GerR	yes	no	no	yes	no
BSU27980	spoIVFA	SpoIIID	yes	no	no	yes	no
BSU11500	spxA	YodB	yes	no	no	no	no
BSU11500	spxA	sigA	yes	no	no	no	no
BSU28950	thrS	sigA	yes	no	no	no	no
BSU37560	thrZ	sigA	yes	no	no	no	no
BSU08620	yfhP	sigK	yes	no	no	yes	no
BSU08620	yfhP	sigK	yes	no	no	yes	no
BSU11809	yjcZ	sigK	yes	no	no	yes	no
BSU18280	yngK	sigK	yes	no	no	yes	no
BSU24440	yqhV	GerR	yes	no	no	yes	no
BSU29390	ytmI	Spx	yes	no	no	no	no
BSU39510	yxeL	Spx	yes	no	no	no	no
BSU38620	aag	sigB	no	yes	yes	no	no
BSU28720	abfA	CcpA	no	yes	yes	no	yes
BSU28720	abfA	AraR	no	yes	yes	no	yes
BSU14480	abh	sigM	no	yes	yes	no	no
BSU39330	abnB	sigH	no	yes	yes	yes	no
BSU39330	abnB	CcpA	no	yes	yes	no	yes
BSU29200	accA	Spo0A	no	yes	yes	yes	no
BSU29210	accD	Spo0A	no	yes	yes	yes	no
BSU37170	acdA	FadR	no	yes	yes	no	yes
BSU29470	ackA	CodY	no	yes	yes	no	yes
BSU08070	acoB	sigL	no	yes	yes	no	no
BSU08070	acoB	CcpA	no	yes	yes	no	yes
BSU08070	acoB	AcoR	no	yes	yes	no	yes
BSU08080	acoC	sigL	no	yes	yes	no	no
BSU08080	acoC	CcpA	no	yes	yes	no	yes
BSU08080	acoC	AcoR	no	yes	yes	no	yes
BSU08090	acoL	sigL	no	yes	yes	no	no
BSU08090	acoL	CcpA	no	yes	yes	no	yes
BSU08090	acoL	AcoR	no	yes	yes	no	yes
BSU15920	acpA	FapR	no	yes	yes	no	yes
BSU29700	acuB	CcpA	no	yes	yes	no	yes
BSU29710	acuC	CcpA	no	yes	yes	no	yes
BSU01820	adaB	AdaA	no	yes	yes	no	yes
BSU02870	adcB	Zur	no	yes	yes	no	yes
BSU02860	adcC	Zur	no	yes	yes	no	yes
BSU10630	addA	ComK	no	yes	yes	no	no
BSU27010	adhA	AdhR	no	yes	yes	no	no
BSU26970	adhB	sigG	no	yes	yes	yes	no
BSU01370	adk	stringent response	no	yes	yes	no	no
BSU40100	ahpF	PerR	no	yes	yes	no	yes
BSU24250	ahrC	SR1	no	yes	yes	no	no
BSU37370	albA	Rok	no	yes	yes	no	no
BSU37370	albA	ResD	no	yes	yes	no	no
BSU37370	albA	AbrB	no	yes	yes	no	no
BSU37380	albB	Rok	no	yes	yes	no	no
BSU37380	albB	ResD	no	yes	yes	no	no
BSU37380	albB	AbrB	no	yes	yes	no	no
BSU37390	albC	Rok	no	yes	yes	no	no
BSU37390	albC	ResD	no	yes	yes	no	no
BSU37390	albC	AbrB	no	yes	yes	no	no
BSU37400	albD	Rok	no	yes	yes	no	no
BSU37400	albD	ResD	no	yes	yes	no	no
BSU37400	albD	AbrB	no	yes	yes	no	no
BSU37410	albE	Rok	no	yes	yes	no	no
BSU37410	albE	ResD	no	yes	yes	no	no
BSU37410	albE	AbrB	no	yes	yes	no	no
BSU37420	albF	Rok	no	yes	yes	no	no
BSU37420	albF	ResD	no	yes	yes	no	no
BSU37420	albF	AbrB	no	yes	yes	no	no
BSU37430	albG	Rok	no	yes	yes	no	no
BSU37430	albG	ResD	no	yes	yes	no	no
BSU37430	albG	AbrB	no	yes	yes	no	no
BSU36000	alsD	stringent response	no	yes	yes	no	no
BSU36000	alsD	Rex	no	yes	yes	no	no
BSU36000	alsD	AlsR	no	yes	yes	no	yes
BSU36010	alsS	stringent response	no	yes	yes	no	no
BSU03040	amyE	AbrB	no	yes	yes	no	no
BSU23570	ansB	AnsR	no	yes	yes	no	yes
BSU02690	ansZ	CodY	no	yes	yes	no	no
BSU25220	antE	AbrB	no	yes	yes	no	no
BSU11381	appA	scoC	no	yes	yes	no	no
BSU11381	appA	CodY	no	yes	yes	no	no
BSU11382	appA	scoC	no	yes	yes	no	no
BSU11382	appA	CodY	no	yes	yes	no	no
BSU11390	appB	scoC	no	yes	yes	yes	no
BSU11390	appB	CodY	no	yes	yes	no	no
BSU11400	appC	scoC	no	yes	yes	yes	no
BSU11400	appC	CodY	no	yes	yes	no	no
BSU11360	appD	CodY	no	yes	yes	no	no
BSU11370	appF	scoC	no	yes	yes	yes	no
BSU11370	appF	CodY	no	yes	yes	no	no
BSU28790	araB	AraR	no	yes	yes	no	yes
BSU28780	araD	CcpA	no	yes	yes	no	yes
BSU28780	araD	AraR	no	yes	yes	no	yes
BSU28770	araL	CcpA	no	yes	yes	no	yes
BSU28770	araL	AraR	no	yes	yes	no	yes
BSU28760	araM	CcpA	no	yes	yes	no	yes
BSU28760	araM	AraR	no	yes	yes	no	yes
BSU28750	araN	CcpA	no	yes	yes	no	yes
BSU28750	araN	AraR	no	yes	yes	no	yes
BSU28740	araP	CcpA	no	yes	yes	no	yes
BSU28740	araP	AraR	no	yes	yes	no	yes
BSU28730	araQ	CcpA	no	yes	yes	no	yes
BSU28730	araQ	AraR	no	yes	yes	no	yes
BSU11210	argB	AhrC	no	yes	yes	no	yes
BSU11220	argD	AhrC	no	yes	yes	no	yes
BSU11250	argF	AhrC	no	yes	yes	no	yes
BSU29450	argG	AhrC	no	yes	yes	no	yes
BSU29440	argH	AhrC	no	yes	yes	no	yes
BSU40320	argI	Spo0A	no	yes	yes	yes	no
BSU40320	argI	sigL	no	yes	yes	no	no
BSU40320	argI	RocR	no	yes	yes	no	yes
BSU40320	argI	CodY	no	yes	yes	no	yes
BSU40320	argI	AhrC	no	yes	yes	no	yes
BSU11200	argJ	AhrC	no	yes	yes	no	yes
BSU22600	aroE	TRAP	no	yes	yes	no	no
BSU25790	arsB	sigF	no	yes	yes	yes	no
BSU25790	arsB	ArsR	no	yes	yes	no	yes
BSU25780	arsC	sigF	no	yes	yes	yes	no
BSU25780	arsC	ArsR	no	yes	yes	no	yes
BSU25810	arsR	sigF	no	yes	yes	yes	no
BSU16750	asd	sigK	no	yes	yes	yes	no
BSU05330	aseR	AseR	no	yes	yes	no	no
BSU39900	aslA	CodY	no	yes	yes	no	no
BSU39900	aslA	AbrB	no	yes	yes	no	no
BSU39920	asnH	CodY	no	yes	yes	no	no
BSU39920	asnH	AbrB	no	yes	yes	no	no
BSU36830	atpA	stringent response	no	yes	yes	no	no
BSU36870	atpB	stringent response	no	yes	yes	no	no
BSU36800	atpC	stringent response	no	yes	yes	no	no
BSU36810	atpD	stringent response	no	yes	yes	no	no
BSU36860	atpE	stringent response	no	yes	yes	no	no
BSU36850	atpF	stringent response	no	yes	yes	no	no
BSU36820	atpG	stringent response	no	yes	yes	no	no
BSU36840	atpH	stringent response	no	yes	yes	no	no
BSU36880	atpI	stringent response	no	yes	yes	no	no
BSU26710	azlC	AzlB	no	yes	yes	no	no
BSU26700	azlD	AzlB	no	yes	yes	no	no
BSU37740	bacA	scoC	no	yes	yes	yes	no
BSU37740	bacA	CodY	no	yes	yes	no	yes
BSU37740	bacA	AbrB	no	yes	yes	no	no
BSU37730	bacB	scoC	no	yes	yes	yes	no
BSU37730	bacB	CodY	no	yes	yes	no	yes
BSU37730	bacB	AbrB	no	yes	yes	no	no
BSU37720	bacC	scoC	no	yes	yes	yes	no
BSU37720	bacC	CodY	no	yes	yes	no	yes
BSU37720	bacC	AbrB	no	yes	yes	no	no
BSU37710	bacD	scoC	no	yes	yes	yes	no
BSU37710	bacD	CodY	no	yes	yes	no	yes
BSU37710	bacD	AbrB	no	yes	yes	no	no
BSU37700	bacE	scoC	no	yes	yes	yes	no
BSU37700	bacE	CodY	no	yes	yes	no	yes
BSU37700	bacE	AbrB	no	yes	yes	no	no
BSU37690	bacF	scoC	no	yes	yes	yes	no
BSU37690	bacF	CodY	no	yes	yes	no	yes
BSU37690	bacF	AbrB	no	yes	yes	no	no
BSU24080	bcd	sigL	no	yes	yes	no	no
BSU24080	bcd	CodY	no	yes	yes	no	no
BSU24080	bcd	BkdR	no	yes	yes	no	yes
BSU30380	bceA	BceR	no	yes	yes	no	yes
BSU30370	bceB	BceR	no	yes	yes	no	yes
BSU36530	bcrC	sigW	no	yes	yes	no	no
BSU36530	bcrC	sigI	no	yes	yes	no	no
BSU21460	bdbA	YvrHb	no	yes	yes	no	no
BSU21460	bdbA	Rok	no	yes	yes	no	no
BSU21460	bdbA	AbrB	no	yes	yes	no	no
BSU21460	bdbA	Abh	no	yes	yes	no	no
BSU21440	bdbB	YvrHb	no	yes	yes	no	no
BSU21440	bdbB	Rok	no	yes	yes	no	no
BSU21440	bdbB	AbrB	no	yes	yes	no	no
BSU21440	bdbB	Abh	no	yes	yes	no	no
BSU33470	bdbC	sigE	no	yes	yes	yes	no
BSU33470	bdbC	ComK	no	yes	yes	no	no
BSU06240	bdhA	AbrB	no	yes	yes	no	no
BSU32010	besA	AbrB	no	yes	yes	no	no
BSU39260	bglH	LicT	no	yes	yes	no	no
BSU39260	bglH	CcpA	no	yes	yes	no	yes
BSU30200	bioB	BirA	no	yes	yes	no	yes
BSU30210	bioD	BirA	no	yes	yes	no	yes
BSU30220	bioF	BirA	no	yes	yes	no	yes
BSU30190	bioI	BirA	no	yes	yes	no	yes
BSU30230	bioK	BirA	no	yes	yes	no	yes
BSU14770	bipA	stringent response	no	yes	yes	no	no
BSU24050	bkdAA	sigL	no	yes	yes	no	no
BSU24050	bkdAA	CodY	no	yes	yes	no	no
BSU24050	bkdAA	BkdR	no	yes	yes	no	yes
BSU24040	bkdAB	sigL	no	yes	yes	no	no
BSU24040	bkdAB	CodY	no	yes	yes	no	no
BSU24040	bkdAB	BkdR	no	yes	yes	no	yes
BSU24030	bkdB	sigL	no	yes	yes	no	no
BSU24030	bkdB	CodY	no	yes	yes	no	no
BSU24030	bkdB	BkdR	no	yes	yes	no	yes
BSU24100	bkdR	CodY	no	yes	yes	no	no
BSU26600	bltD	Mta	no	yes	yes	no	no
BSU26600	bltD	BltR	no	yes	yes	no	yes
BSU24010	bmr	sigB	no	yes	yes	no	no
BSU24020	bmrR	sigB	no	yes	yes	no	no
BSU24020	bmrR	Mta	no	yes	yes	no	no
BSU24020	bmrR	BmrR	no	yes	yes	no	yes
BSU27750	bofC	sigB	no	yes	yes	no	no
BSU15300	bpr	DegU	no	yes	yes	no	no
BSU26690	brnQ	AzlB	no	yes	yes	no	no
BSU27170	bscR	sigX	no	yes	yes	no	no
BSU27170	bscR	sigW	no	yes	yes	no	no
BSU27170	bscR	sigM	no	yes	yes	no	no
BSU03651	bsdD	BsdA	no	yes	yes	no	yes
BSU32540	bsn	AbrB	no	yes	yes	no	no
BSU24070	buk	sigL	no	yes	yes	no	no
BSU24070	buk	CodY	no	yes	yes	no	no
BSU24070	buk	BkdR	no	yes	yes	no	yes
BSU35880	capA	DegU	no	yes	yes	no	no
BSU11230	carA	AhrC	no	yes	yes	no	yes
BSU11240	carB	AhrC	no	yes	yes	no	yes
BSU08230	catD	CatR	no	yes	yes	no	no
BSU08240	catE	CatR	no	yes	yes	no	no
BSU25190	cccA	CcpA	no	yes	yes	no	yes
BSU25190	cccA	AbrB	no	yes	yes	no	no
BSU40870	ccpB	sigG	no	yes	yes	yes	no
BSU19790	cgeB	sigK	no	yes	yes	yes	no
BSU19790	cgeB	GerE	no	yes	yes	no	no
BSU19760	cgeD	sigK	no	yes	yes	yes	no
BSU19760	cgeD	GerE	no	yes	yes	no	no
BSU19750	cgeE	sigK	no	yes	yes	yes	no
BSU19750	cgeE	GerE	no	yes	yes	no	no
BSU16430	cheA	Spo0A	no	yes	yes	yes	no
BSU16430	cheA	sigD	no	yes	yes	no	no
BSU16430	cheA	CodY	no	yes	yes	no	no
BSU16420	cheB	Spo0A	no	yes	yes	yes	no
BSU16420	cheB	sigD	no	yes	yes	no	no
BSU16420	cheB	CodY	no	yes	yes	no	no
BSU16450	cheC	Spo0A	no	yes	yes	yes	no
BSU16450	cheC	sigD	no	yes	yes	no	no
BSU16450	cheC	CodY	no	yes	yes	no	no
BSU16460	cheD	Spo0A	no	yes	yes	yes	no
BSU16460	cheD	sigD	no	yes	yes	no	no
BSU16460	cheD	CodY	no	yes	yes	no	no
BSU16440	cheW	Spo0A	no	yes	yes	yes	no
BSU16440	cheW	sigD	no	yes	yes	no	no
BSU16440	cheW	CodY	no	yes	yes	no	no
BSU16330	cheY	Spo0A	no	yes	yes	yes	no
BSU16330	cheY	sigD	no	yes	yes	no	no
BSU16330	cheY	CodY	no	yes	yes	no	no
BSU18000	citB	Fsra	no	yes	yes	no	no
BSU00860	clpC	sigF	no	yes	yes	yes	no
BSU00860	clpC	sigB	no	yes	yes	no	no
BSU00860	clpC	CtsR	no	yes	yes	no	yes
BSU16150	clpQ	CodY	no	yes	yes	no	no
BSU16160	clpY	CodY	no	yes	yes	no	no
BSU00700	coaX	sigM	no	yes	yes	no	no
BSU16140	codV	CodY	no	yes	yes	no	no
BSU16170	codY	CodY	no	yes	yes	no	no
BSU25590	comEA	ComN	no	yes	yes	no	no
BSU25580	comEB	ComN	no	yes	yes	no	no
BSU25580	comEB	ComK	no	yes	yes	no	no
BSU25570	comEC	ComN	no	yes	yes	no	no
BSU25570	comEC	ComK	no	yes	yes	no	no
BSU35460	comFB	ComK	no	yes	yes	no	no
BSU35450	comFC	ComK	no	yes	yes	no	no
BSU24720	comGB	ComK	no	yes	yes	no	no
BSU24710	comGC	ComK	no	yes	yes	no	no
BSU24700	comGD	ComK	no	yes	yes	no	no
BSU24690	comGE	ComK	no	yes	yes	no	no
BSU24680	comGF	ComK	no	yes	yes	no	no
BSU24670	comGG	ComK	no	yes	yes	no	no
BSU03500	comS	Spx	no	yes	yes	no	no
BSU03500	comS	PerR	no	yes	yes	no	no
BSU03500	comS	ComA	no	yes	yes	no	yes
BSU03500	comS	CodY	no	yes	yes	no	yes
BSU03500	comS	Abh	no	yes	yes	no	no
BSU11310	comZ	Spo0A	no	yes	yes	yes	no
BSU33500	copA	CsoR	no	yes	yes	no	yes
BSU33490	copB	CzrA	no	yes	yes	no	yes
BSU33510	copZ	CsoR	no	yes	yes	no	yes
BSU36050	cotB	GerR	no	yes	yes	yes	no
BSU06900	cotJB	SpoIIID	no	yes	yes	yes	no
BSU06900	cotJB	sigE	no	yes	yes	yes	no
BSU06910	cotJC	SpoIIID	no	yes	yes	yes	no
BSU06910	cotJC	sigE	no	yes	yes	yes	no
BSU05550	cotP	sigK	no	yes	yes	yes	no
BSU34530	cotR	sigK	no	yes	yes	yes	no
BSU30900	cotS	sigK	no	yes	yes	yes	no
BSU17670	cotU	GerR	no	yes	yes	yes	no
BSU17670	cotU	GerE	no	yes	yes	no	no
BSU11770	cotW	sigK	no	yes	yes	yes	no
BSU11770	cotW	GerE	no	yes	yes	no	no
BSU11740	cotZ	sigK	no	yes	yes	yes	no
BSU11740	cotZ	GerE	no	yes	yes	no	no
BSU27830	coxA	sigE	no	yes	yes	yes	no
BSU27760	csbX	sigG	no	yes	yes	yes	no
BSU27760	csbX	sigF	no	yes	yes	yes	no
BSU26890	csn	AbrB	no	yes	yes	no	no
BSU33020	cssS	CssR	no	yes	yes	no	yes
BSU28710	cstA	CcpA	no	yes	yes	no	yes
BSU14890	ctaC	ResD	no	yes	yes	no	no
BSU14890	ctaC	CcpA	no	yes	yes	no	no
BSU14890	ctaC	AbrB	no	yes	yes	no	no
BSU14890	ctaC	Abh	no	yes	yes	no	no
BSU14900	ctaD	ResD	no	yes	yes	no	no
BSU14900	ctaD	AbrB	no	yes	yes	no	no
BSU14900	ctaD	Abh	no	yes	yes	no	no
BSU14910	ctaE	ResD	no	yes	yes	no	no
BSU14910	ctaE	AbrB	no	yes	yes	no	no
BSU14910	ctaE	Abh	no	yes	yes	no	no
BSU14920	ctaF	ResD	no	yes	yes	no	no
BSU14920	ctaF	AbrB	no	yes	yes	no	no
BSU14920	ctaF	Abh	no	yes	yes	no	no
BSU14930	ctaG	ResD	no	yes	yes	no	no
BSU14930	ctaG	AbrB	no	yes	yes	no	no
BSU14930	ctaG	Abh	no	yes	yes	no	no
BSU12080	ctaO	AbrB	no	yes	yes	no	no
BSU09460	ctrA	CodY	no	yes	yes	no	yes
BSU01530	cwlD	sigG	no	yes	yes	yes	no
BSU01530	cwlD	LexA	no	yes	yes	no	yes
BSU34800	cwlO	WalR	no	yes	yes	no	no
BSU19410	cwlS	CcpA	no	yes	yes	no	no
BSU19410	cwlS	AbrB	no	yes	yes	no	no
BSU19410	cwlS	Abh	no	yes	yes	no	no
BSU34160	cycB	LacR	no	yes	yes	no	yes
BSU38750	cydB	Rex	no	yes	yes	no	yes
BSU38750	cydB	ResD	no	yes	yes	no	no
BSU38750	cydB	CcpA	no	yes	yes	no	no
BSU38740	cydC	Rex	no	yes	yes	no	yes
BSU38740	cydC	ResD	no	yes	yes	no	no
BSU38740	cydC	CcpA	no	yes	yes	no	no
BSU38730	cydD	Rex	no	yes	yes	no	yes
BSU38730	cydD	ResD	no	yes	yes	no	no
BSU38730	cydD	CcpA	no	yes	yes	no	no
BSU27520	cymR	stringent response	no	yes	yes	no	no
BSU27160	cypB	sigX	no	yes	yes	no	no
BSU27160	cypB	sigW	no	yes	yes	no	no
BSU27160	cypB	sigM	no	yes	yes	no	no
BSU27160	cypB	FatR	no	yes	yes	no	yes
BSU02100	cypC	sigB	no	yes	yes	no	no
BSU35060	cypX	AbrB	no	yes	yes	no	no
BSU15600	cysC	S-box-SAM	no	yes	yes	no	yes
BSU15600	cysC	CymR	no	yes	yes	no	no
BSU15570	cysH	S-box-SAM	no	yes	yes	no	yes
BSU15570	cysH	CymR	no	yes	yes	no	no
BSU33430	cysI	CysL	no	yes	yes	no	no
BSU00730	cysK	Spx	no	yes	yes	no	no
BSU15580	cysP	S-box-SAM	no	yes	yes	no	yes
BSU15580	cysP	CymR	no	yes	yes	no	no
BSU26650	czcD	CzrA	no	yes	yes	no	yes
BSU18350	dacC	sigH	no	yes	yes	yes	no
BSU23480	dacF	AbrB	no	yes	yes	no	no
BSU16770	dapA	sigK	no	yes	yes	yes	no
BSU16760	dapG	sigK	no	yes	yes	yes	no
BSU04560	ddl	sigM	no	yes	yes	no	no
BSU35490	degU	TnrA	no	yes	yes	no	yes
BSU35490	degU	DegU	no	yes	yes	no	no
BSU32000	dhbA	AbrB	no	yes	yes	no	no
BSU31970	dhbB	Fur	no	yes	yes	no	yes
BSU31970	dhbB	AbrB	no	yes	yes	no	no
BSU31990	dhbC	Fur	no	yes	yes	no	yes
BSU31990	dhbC	AbrB	no	yes	yes	no	no
BSU31980	dhbE	Fur	no	yes	yes	no	yes
BSU31980	dhbE	AbrB	no	yes	yes	no	no
BSU31960	dhbF	Fur	no	yes	yes	no	yes
BSU31960	dhbF	AbrB	no	yes	yes	no	no
BSU00880	disA	sigM	no	yes	yes	no	no
BSU00880	disA	sigB	no	yes	yes	no	no
BSU00880	disA	CtsR	no	yes	yes	no	yes
BSU15240	divIB	SpoIIID	no	yes	yes	yes	no
BSU15240	divIB	sigM	no	yes	yes	no	no
BSU15240	divIB	sigE	no	yes	yes	yes	no
BSU00620	divIC	sigM	no	yes	yes	no	no
BSU00620	divIC	sigE	no	yes	yes	yes	no
BSU15420	divIVA	Spo0A	no	yes	yes	yes	no
BSU38500	dltA	YvrHb	no	yes	yes	no	no
BSU38500	dltA	stringent response	no	yes	yes	no	no
BSU38500	dltA	sigM	no	yes	yes	no	no
BSU38510	dltB	YvrHb	no	yes	yes	no	no
BSU38510	dltB	stringent response	no	yes	yes	no	no
BSU38510	dltB	Spo0A	no	yes	yes	yes	no
BSU38510	dltB	sigX	no	yes	yes	no	no
BSU38510	dltB	sigM	no	yes	yes	no	no
BSU38510	dltB	sigD	no	yes	yes	no	no
BSU38520	dltC	YvrHb	no	yes	yes	no	no
BSU38520	dltC	stringent response	no	yes	yes	no	no
BSU38520	dltC	Spo0A	no	yes	yes	yes	no
BSU38520	dltC	sigX	no	yes	yes	no	no
BSU38520	dltC	sigM	no	yes	yes	no	no
BSU38520	dltC	sigD	no	yes	yes	no	no
BSU38530	dltD	YvrHb	no	yes	yes	no	no
BSU38530	dltD	stringent response	no	yes	yes	no	no
BSU38530	dltD	Spo0A	no	yes	yes	yes	no
BSU38530	dltD	sigX	no	yes	yes	no	no
BSU38530	dltD	sigM	no	yes	yes	no	no
BSU38530	dltD	sigD	no	yes	yes	no	no
BSU38540	dltE	YvrHb	no	yes	yes	no	no
BSU38540	dltE	stringent response	no	yes	yes	no	no
BSU38540	dltE	Spo0A	no	yes	yes	yes	no
BSU38540	dltE	sigX	no	yes	yes	no	no
BSU38540	dltE	sigM	no	yes	yes	no	no
BSU38540	dltE	sigD	no	yes	yes	no	no
BSU00010	dnaA	Spo0A	no	yes	yes	yes	no
BSU25210	dnaG	Spo0A	no	yes	yes	yes	no
BSU25460	dnaJ	HrcA	no	yes	yes	no	no
BSU25470	dnaK	HrcA	no	yes	yes	no	yes
BSU00020	dnaN	Spo0A	no	yes	yes	yes	no
BSU12930	dppB	CodY	no	yes	yes	no	yes
BSU12940	dppC	CodY	no	yes	yes	no	yes
BSU12950	dppD	CodY	no	yes	yes	no	yes
BSU12960	dppE	CodY	no	yes	yes	no	yes
BSU23500	drm	CcpA	no	yes	yes	no	yes
BSU24270	dxs	stringent response	no	yes	yes	no	no
BSU38270	efeM	Fur	no	yes	yes	no	yes
BSU38260	efeN	sigM	no	yes	yes	no	no
BSU38260	efeN	Fur	no	yes	yes	no	yes
BSU33900	eno	CggR	no	yes	yes	no	yes
BSU38400	epr	DegU	no	yes	yes	no	no
BSU34370	epsA	AbrB	no	yes	yes	no	no
BSU34360	epsB	SinR	no	yes	yes	yes	yes
BSU34360	epsB	AbrB	no	yes	yes	no	no
BSU34350	epsC	SinR	no	yes	yes	yes	yes
BSU34350	epsC	EAR	no	yes	yes	no	no
BSU34350	epsC	AbrB	no	yes	yes	no	no
BSU34340	epsD	SinR	no	yes	yes	yes	yes
BSU34340	epsD	EAR	no	yes	yes	no	no
BSU34340	epsD	AbrB	no	yes	yes	no	no
BSU34330	epsE	SinR	no	yes	yes	yes	yes
BSU34330	epsE	EAR	no	yes	yes	no	no
BSU34330	epsE	AbrB	no	yes	yes	no	no
BSU34320	epsF	SinR	no	yes	yes	yes	yes
BSU34320	epsF	EAR	no	yes	yes	no	no
